country,city,apartment_living_area_sqm,price_in_USD,price_per_sqm,apartment_bedrooms,apartment_bathrooms,area_flag_outlier,price_flag_outlier
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",32,82607,2581.46875,NA,NA,FALSE,FALSE
Turkey,"Aegean Region, Cigli, Turkey",120,120664,1005.5333333333333,3.0,2.0,FALSE,FALSE
Turkey,"Mediterranean Region, Mersin, Turkey",50,78636,1572.72,1.0,1.0,FALSE,FALSE
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",33,94563,2865.5454545454545,NA,NA,FALSE,FALSE
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",28,78259,2794.964285714286,NA,NA,FALSE,FALSE
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",28,81520,2911.4285714285716,NA,NA,FALSE,FALSE
Turkey,"Mezitli, Mediterranean Region, Mersin, Turkey",33,79346,2404.4242424242425,1.0,1.0,FALSE,FALSE
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",28,77172,2756.1428571428573,NA,NA,FALSE,FALSE
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",36,85867,2385.1944444444443,NA,NA,FALSE,FALSE
Turkey,"Marmara Region, Izmit, Turkey",43,90268,2099.2558139534885,1.0,1.0,FALSE,FALSE
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",50,102171,2043.42,1.0,1.0,FALSE,FALSE
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",35,97824,2794.9714285714285,NA,NA,FALSE,FALSE
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",43,88041,2047.4651162790697,NA,NA,FALSE,FALSE
Turkey,"Merdivenlikuyu, Mediterranean Region, Erdemli, Turkey",50,71338,1426.76,1.0,1.0,FALSE,FALSE
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",28,71737,2562.035714285714,NA,NA,FALSE,FALSE
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",28,81520,2911.4285714285716,NA,NA,FALSE,FALSE
Turkey,"Mediterranean Region, Turkey",43,84478,1964.6046511627908,1.0,1.0,FALSE,FALSE
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",36,143475,3985.4166666666665,NA,NA,FALSE,FALSE
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",33,91302,2766.7272727272725,NA,NA,FALSE,FALSE
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",35,101084,2888.114285714286,NA,NA,FALSE,FALSE
Turkey,"Mediterranean Region, Mersin, Turkey",30,80433,2681.1,NA,NA,FALSE,FALSE
Turkey,"Ciftepinar, Mediterranean Region, Erdemli, Turkey",54,63585,1177.5,1.0,1.0,FALSE,FALSE
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",28,73911,2639.6785714285716,NA,NA,FALSE,FALSE
Turkey,"Aegean Region, Tuerkmen Mahallesi, Kusadasi, Turkey",120,84986,708.2166666666667,2.0,1.0,FALSE,FALSE
Turkey,"Belek, Mediterranean Region, Antalya, Turkey",60,97824,1630.4,2.0,1.0,FALSE,FALSE
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",28,71737,2562.035714285714,NA,NA,FALSE,FALSE
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",56,107606,1921.5357142857142,2.0,1.0,FALSE,FALSE
